brand,product_line,spec_status,source_kind,source_url,verified_at,notes
3M,FX-PM,catalog_only,manufacturer_web,https://www.3m.com/3M/en_US/p/dc/v000330217/,2026-08-12,
3M,Obsidian,verified_shade_level,manufacturer_tds,https://www.3m.com/3M/en_US/automotive-us/solutions/window-film/,2026-07-22,
3M,Color Stable Legacy,legacy_reference,manufacturer_web,https://www.3m.com/3M/en_US/car-personalization-us/support/,2026-07-22,
3M,Black Chrome,catalog_only,manufacturer_web,https://www.3m.com/3M/en_US/p/d/b00016650/,2026-08-12,
3M,FX-HP,catalog_only,manufacturer_web,https://www.3m.com/3M/en_US/p/dc/v000090639/,2026-08-12,
3M,Ceramic IR,verified_shade_level,manufacturer_tds,https://www.3m.com/3M/en_US/automotive-us/solutions/window-film/,2026-07-22,
3M,Color Stable Series,verified_shade_level,manufacturer_tds,https://www.3m.com/3M/en_US/p/d/b00016620/,2026-08-12,
3M,Crystalline,verified_shade_level,manufacturer_tds,https://www.3m.com/3M/en_US/automotive-us/solutions/window-film/,2026-07-22,
Autobahn,Autobahn Black,verified_shade_level,manufacturer_web,https://autobahnwindowfilms.com/products/window-tint/,2026-07-22,
Autobahn,Black Ceramic,verified_shade_level,manufacturer_web,https://autobahnwindowfilms.com/products/window-tint/,2026-07-22,
Autobahn,Ceramic i3,verified_shade_level,manufacturer_web,https://autobahnwindowfilms.com/products/window-tint/,2026-07-22,
Autobahn,Ceramic i3+,verified_shade_level,manufacturer_web,https://autobahnwindowfilms.com/products/window-tint/,2026-07-22,
Ceramic Pro / KAVACA,Carbon X,verified_shade_level,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/carbon-x-window-tint/,2026-08-12,
Ceramic Pro / KAVACA,Ceramic X,verified_shade_level,manufacturer_web,https://ceramicpro.com/ceramic-x/,2026-08-12,
Ceramic Pro / KAVACA,Ceramic IR,verified_shade_level,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,2026-08-12,
Ceramic Pro / KAVACA,Ultimate IR,verified_shade_level,manufacturer_web,https://ceramicpro.com/ultimate-ir/,2026-08-12,
Edge Film Technologies,Carbon Crystalline,verified_shade_level,manufacturer_web,https://programedge.com/carbon-crystalline/,2026-08-12,Official automotive product pages publish shade-level performance for mapped products.
Edge Film Technologies,Ceramic XR,verified_shade_level,manufacturer_web,https://programedge.com/ceramic-xr/,2026-08-12,Official automotive product pages publish shade-level performance for mapped products.
Flexfilm,Duraflex,verified_shade_level,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,2026-07-22,
Flexfilm,Terraflex,verified_shade_level,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,2026-07-22,
Flexfilm,Panaflex,verified_shade_level,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,2026-07-22,
Flexfilm,Nanoflex,verified_shade_level,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,2026-07-22,
FormulaOne,Classic,verified_shade_level,manufacturer_web,https://llumar.com/na/en/automotive/window-tint/formulaone/,2026-07-22,
FormulaOne,Comfort,verified_shade_level,manufacturer_web,https://llumar.com/en/tint/metallized/formulaone-comfort/,2026-08-12,
FormulaOne,Pinnacle,verified_shade_level,manufacturer_web,https://llumar.com/na/en/automotive/window-tint/formulaone/,2026-07-22,
FormulaOne,Stratos,verified_shade_level,manufacturer_web,https://llumar.com/na/en/automotive/window-tint/formulaone/,2026-07-22,
GeoShield,Pro Classic,verified_product_level,manufacturer_web,https://geoshieldusa.com/collections/automotive-window-film,2026-07-22,Official comparison table publishes offered VLTs and product-level TSER/IR ranges; shade-level performance table not captured.
