brand,product_line,record_scope,nominal_shade,measured_vlt_pct,vlr_exterior_pct,vlr_interior_pct,uv_rejection,tser_pct,tser_range,glare_reduction_pct,ir_primary_metric,ir_primary_value,ir_primary_wavelength_nm,ir_secondary_metric,ir_secondary_value,ir_secondary_wavelength_nm,solar_transmittance_pct,solar_reflectance_pct,solar_absorbance_pct,shading_coefficient,shgc,thickness_mil,construction,warranty,substrate,test_standard,source_kind,source_url,source_date,verified_at,data_status,notes
Flexfilm,Duraflex,shade,5,8.0,6.0,5.4,>99,50,,,IR Rejected,66.5,900-1000,IR Rejected,56,780-2500,25.8,6.2,68,0.55,0.5,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Source value for Duraflex 15 UV rejection is preserved exactly as published in the captured manufacturer table.
Flexfilm,Duraflex,shade,15,14.3,6.1,5.4,<99,47,,,IR Rejected,62.1,900-1000,IR Rejected,52,780-2500,29.6,6.3,64.1,0.57,0.53,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Source value for Duraflex 15 UV rejection is preserved exactly as published in the captured manufacturer table.
Flexfilm,Duraflex,shade,20,21.9,6.3,5.6,>99,46,,,IR Rejected,65.9,900-1000,IR Rejected,53,780-2500,31.8,6.4,61.8,0.59,0.54,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Source value for Duraflex 15 UV rejection is preserved exactly as published in the captured manufacturer table.
Flexfilm,Duraflex,shade,35,34.7,6.8,6.2,>99,42,,,IR Rejected,63.9,900-1000,IR Rejected,51,780-2500,38.5,6.6,54.9,0.64,0.58,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Source value for Duraflex 15 UV rejection is preserved exactly as published in the captured manufacturer table.
Flexfilm,Duraflex,shade,50,45.8,7.3,6.8,>99,39,,,IR Rejected,64.5,900-1000,IR Rejected,51,780-2500,43.5,6.9,49.6,0.67,0.61,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Source value for Duraflex 15 UV rejection is preserved exactly as published in the captured manufacturer table.
Flexfilm,Nanoflex,shade,5,6,8.3,5.4,>99,72,,,IR Rejected,96,900-1000,IR Rejected,98.1,780-2500,5.3,7.7,87,0.39,0.28,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Nanoflex,shade,15,15,8.2,6.1,>99,70,,,IR Rejected,95,900-1000,IR Rejected,97.7,780-2500,10.4,7.6,82,0.43,0.3,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Nanoflex,shade,20,18,8.1,6.1,>99,67,,,IR Rejected,97,900-1000,IR Rejected,97.1,780-2500,11.5,7.5,81,0.44,0.33,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Nanoflex,shade,35,35,8.6,6,>99,60,,,IR Rejected,97,900-1000,IR Rejected,96.9,780-2500,19.3,7.7,73,0.51,0.4,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Nanoflex,shade,50,49,9.8,8.1,>99,58,,,IR Rejected,97,900-1000,IR Rejected,97.1,780-2500,24.6,8.5,67,0.54,0.42,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
