id,brand,film_category,film_line_guess,source_url,anchor_text,match_score,review_status,notes
bcd23be3db6f,GeoShield,architectural_window_film,20/20 Interior and Exterior Films,https://geoshieldusa.com/products/20-20-interior-and-exterior-films,20/20 Interior and Exterior Films,8,needs_review,20/20 Interior and Exterior Films
e64eaa7cd290,GeoShield,architectural_window_film,8Mil Clear Safety Film,https://geoshieldusa.com/products/8mil-clear-safety-film,8Mil Clear Safety Film,7,needs_review,8Mil Clear Safety Film
2039ce20125c,GeoShield,architectural_window_film,Astro,https://geoshieldusa.com/products/astro,Astro,7,needs_review,Astro
6eae210be688,GeoShield,architectural_window_film,Blackout Privacy Film,https://geoshieldusa.com/products/black-out,Blackout Privacy Film,6,needs_review,Blackout Privacy Film
be0df0640d0e,GeoShield,architectural_window_film,White Frost,https://geoshieldusa.com/products/frost,White Frost,6,needs_review,White Frost
bc6b142fc662,GeoShield,architectural_window_film,Geo,https://geoshieldusa.com/products/geo,Geo,7,needs_review,Geo
24e26f947f8d,GeoShield,architectural_window_film,Geoshield Blister Free Film,https://geoshieldusa.com/products/geoshield-blister-free-film,Geoshield Blister Free Film,10,needs_review,Geoshield Blister Free Film
434881ab1df4,GeoShield,architectural_window_film,Lunar,https://geoshieldusa.com/products/lunar,Lunar,11,needs_review,Lunar
ec30863db1c0,GeoShield,architectural_window_film,Solar Bronze,https://geoshieldusa.com/products/solar-bronze-20,Solar Bronze,11,needs_review,Solar Bronze
80f3262940e0,GeoShield,architectural_window_film,Super Alloy,https://geoshieldusa.com/products/super-alloy,Super Alloy,10,needs_review,Super Alloy
50ec0e6299ce,GeoShield,architectural_window_film,Ultra,https://geoshieldusa.com/products/ultra,Ultra,10,needs_review,Ultra
a03e1c2b0e19,Rogue,automotive_window_film,Eclipse Carbon Ceramic,https://roguewindowfilms.com/auto-films/eclipse-carbon-ceramic,Eclipse Carbon Ceramic,11,needs_review,Eclipse Carbon Ceramic - Rogue Window Films
67872b95f3ae,Rogue,automotive_window_film,Decorative Films,https://roguewindowfilms.com/architectural-film/decorative-films,Decorative Films,8,needs_review,Decorative Films - Rogue Window Films
eb38f8d16aa4,Rogue,automotive_window_film,Eclipse Carbon,https://roguewindowfilms.com/auto-films/eclipse-carbon,Eclipse Carbon,11,needs_review,Eclipse Carbon - Rogue Window Films
224ad087692e,Rogue,automotive_window_film,Next-level comfort,https://roguewindowfilms.com/auto-films,seed URL,11,needs_review,Auto Films - Rogue Window Films
ff713081e929,Rogue,architectural_window_film,Eclipse Carbon Ceramic,https://roguewindowfilms.com/auto-films/eclipse-carbon-ceramic,Eclipse Carbon Ceramic,11,needs_review,Eclipse Carbon Ceramic - Rogue Window Films
71803ae9d9d3,Rogue,architectural_window_film,Decorative Films,https://roguewindowfilms.com/architectural-film/decorative-films,Decorative Films,8,needs_review,Decorative Films - Rogue Window Films
784b641cd949,Rogue,architectural_window_film,Eclipse Carbon,https://roguewindowfilms.com/auto-films/eclipse-carbon,Eclipse Carbon,11,needs_review,Eclipse Carbon - Rogue Window Films
