year,make,model,vehicle_class,pricing_group,classification_source,review_status,is_commercial
2000,Acura,RL,sedan,Sedan,rules_model,ok,false
2000,Acura,TL,sedan,Sedan,rules_model,ok,false
2000,Acura,Integra,sedan,Sedan,rules_model,ok,false
2000,Acura,NSX,coupe,Coupe,rules_model,ok,false
2000,Audi,TT,coupe,Coupe,rules_model,ok,false
2000,Audi,A4,sedan,Sedan,rules_model,ok,false
2000,Audi,S4,sedan,Sedan,rules_model,ok,false
2000,Audi,A6,sedan,Sedan,rules_model,ok,false
2000,Audi,A8,sedan,Sedan,rules_model,ok,false
2000,BMW,328i,sedan,Sedan,manual_bulk_review,ok,false
2000,BMW,528i,sedan,Sedan,manual_bulk_review,ok,false
2000,BMW,X5,suv,SUV,rules_model,ok,false
2000,BMW,740i,sedan,Sedan,manual_bulk_review,ok,false
2000,BMW,750Li,sedan,Sedan,manual_bulk_review,ok,false
2000,BMW,M5,sedan,Sedan,manual_bulk_review,ok,false
2000,BMW,325Ci,coupe,Coupe,manual_bulk_review,ok,false
2000,BMW,540i,sedan,Sedan,manual_bulk_review,ok,false
2000,Buick,Regal,sedan,Sedan,manual_bulk_review,ok,false
2000,Buick,Park Avenue,sedan,Sedan,manual_bulk_review,ok,false
2000,Buick,LeSabre,sedan,Sedan,manual_bulk_review,ok,false
2000,Buick,Century,sedan,Sedan,manual_bulk_review,ok,false
2000,Cadillac,Deville,sedan,Sedan,manual_bulk_review,ok,false
2000,Cadillac,Seville,sedan,Sedan,manual_bulk_review,ok,false
2000,Cadillac,Escalade,suv,SUV,rules,ok,false
2000,Chevrolet,Camaro,coupe,Coupe,rules_model,ok,false
2000,Chevrolet,Corvette,coupe,Coupe,rules_model,ok,false
2000,Chevrolet,Impala,sedan,Sedan,manual_bulk_review,ok,false
2000,Chevrolet,Malibu,sedan,Sedan,manual_bulk_review,ok,false
2000,Chevrolet,Geo Prizm,sedan,Sedan,manual_bulk_review,ok,false
2000,Chevrolet,Monte Carlo,sedan,Sedan,rules_model,ok,false
2000,Chevrolet,Cavalier,sedan,Sedan,manual_bulk_review,ok,false
2000,Chevrolet,Express,van,Van,manual_bulk_review,ok,false
2000,Chevrolet,Silverado,truck,Truck,rules_model,ok,false
2000,Chevrolet,Suburban,suv,SUV,rules_model,ok,false
2000,Chevrolet,Tahoe,suv,SUV,rules_model,ok,false
2000,Chevrolet,Astro Van,van,Van,rules,ok,false
2000,Chevrolet,S-10 Pickup,truck,Truck,rules,ok,false
2000,Chevrolet,Tracker,suv,SUV,rules,ok,false
2000,Chevrolet,Venture,suv,SUV,rules,ok,false
2000,Chrysler,Sebring,coupe,Coupe,manual_bulk_review,ok,false
2000,Chrysler,300,sedan,Sedan,manual_bulk_review,ok,false
2000,Chrysler,Town and Country,suv,SUV,rules,ok,false
2000,Chrysler,Grand Voyager,suv,SUV,rules,ok,false
2000,Chrysler,PT Cruiser,suv,SUV,rules,ok,false
2000,Chrysler,Voyager,suv,SUV,rules,ok,false
2000,Dodge,Avenger,sedan,Sedan,manual_bulk_review,ok,false
2000,Dodge,Viper,coupe,Coupe,manual_bulk_review,ok,false
2000,Dodge,Intrepid,sedan,Sedan,manual_bulk_review,ok,false
2000,Dodge,Stratus,sedan,Sedan,manual_bulk_review,ok,false
2000,Dodge,Neon,sedan,Sedan,manual_bulk_review,ok,false
2000,Dodge,Ram,truck,Truck,manual_bulk_review,ok,false
2000,Dodge,Dakota,truck,Truck,manual_bulk_review,ok,false
2000,Dodge,Caravan/Grand Caravan,van,Van,rules_model,ok,false
2000,Dodge,Ram Van,van,Van,rules,ok,false
2000,Dodge,Ram Wagon,sedan,Sedan,rules,ok,false
2000,Ford,Crown Victoria,sedan,Sedan,manual_bulk_review,ok,false
2000,Ford,Focus,sedan,Sedan,manual_bulk_review,ok,false
2000,Ford,Mustang,coupe,Coupe,rules_model,ok,false
2000,Ford,Taurus,sedan,Sedan,manual_bulk_review,ok,false
2000,Ford,ZX2,suv,SUV,rules_model,ok,false
2000,Ford,'34,coupe,Coupe,manual_bulk_review,ok,false
2000,Ford,E-150,van,Van,manual_bulk_review,ok,false
2000,Ford,Expedition,suv,SUV,rules_model,ok,false
2000,Ford,Explorer,suv,SUV,rules_model,ok,false
2000,Ford,F-150,truck,Truck,rules_model,ok,false
2000,Ford,Ranger,truck,Truck,rules_model,ok,false
2000,Ford,F-250,truck,Truck,rules_model,ok,false
2000,Ford,F-350,truck,Truck,rules_model,ok,false
2000,Ford,F-450,truck,Truck,manual_bulk_review,ok,true
2000,Ford,F-550,truck,Truck,manual_bulk_review,ok,true
2000,Ford,F-650,truck,Truck,manual_bulk_review,ok,true
